
***LMSC***

domain,ngram,accuracy
Amazon_Instant_Video,1,59.9
Amazon_Instant_Video,2,76.8
Amazon_Instant_Video,3,87.8
Amazon_Instant_Video,4,92.0
Amazon_Instant_Video,5,93.60000000000001
Amazon_Instant_Video,6,94.6
Amazon_Instant_Video,7,94.6
Amazon_Instant_Video,8,94.8
Amazon_Instant_Video,9,94.8
Amazon_Instant_Video,10,94.89999999999999

domain,ngram,accuracy
Art,1,69.3
Art,2,85.39999999999999
Art,3,91.0
Art,4,93.10000000000001
Art,5,94.3
Art,6,95.0
Art,7,95.19999999999999
Art,8,95.0
Art,9,95.0
Art,10,94.89999999999999

domain,ngram,accuracy
Automotive,1,66.7
Automotive,2,82.89999999999999
Automotive,3,89.8
Automotive,4,92.7
Automotive,5,93.8
Automotive,6,94.3
Automotive,7,94.3
Automotive,8,94.39999999999999
Automotive,9,94.39999999999999
Automotive,10,94.39999999999999

domain,ngram,accuracy
Baby,1,63.1
Baby,2,83.3
Baby,3,90.7
Baby,4,93.2
Baby,5,94.3
Baby,6,94.89999999999999
Baby,7,95.1
Baby,8,95.19999999999999
Baby,9,95.19999999999999
Baby,10,95.1

domain,ngram,accuracy
Beauty,1,65.7
Beauty,2,83.1
Beauty,3,90.10000000000001
Beauty,4,92.7
Beauty,5,94.19999999999999
Beauty,6,94.8
Beauty,7,94.89999999999999
Beauty,8,94.8
Beauty,9,94.89999999999999
Beauty,10,95.0

domain,ngram,accuracy
Books,1,61.199999999999996
Books,2,77.7
Books,3,87.4
Books,4,92.0
Books,5,93.89999999999999
Books,6,94.6
Books,7,94.69999999999999
Books,8,94.69999999999999
Books,9,94.8
Books,10,94.69999999999999

domain,ngram,accuracy
Cell_Phones_Accessories,1,64.60000000000001
Cell_Phones_Accessories,2,82.19999999999999
Cell_Phones_Accessories,3,88.9
Cell_Phones_Accessories,4,91.2
Cell_Phones_Accessories,5,92.60000000000001
Cell_Phones_Accessories,6,93.30000000000001
Cell_Phones_Accessories,7,93.5
Cell_Phones_Accessories,8,93.8
Cell_Phones_Accessories,9,93.5
Cell_Phones_Accessories,10,93.5

domain,ngram,accuracy
Clothing_Accessories,1,69.1
Clothing_Accessories,2,89.1
Clothing_Accessories,3,93.7
Clothing_Accessories,4,95.89999999999999
Clothing_Accessories,5,97.1
Clothing_Accessories,6,97.8
Clothing_Accessories,7,97.89999999999999
Clothing_Accessories,8,98.0
Clothing_Accessories,9,98.1
Clothing_Accessories,10,98.2

domain,ngram,accuracy
Electronics,1,63.800000000000004
Electronics,2,81.69999999999999
Electronics,3,90.10000000000001
Electronics,4,92.7
Electronics,5,94.1
Electronics,6,94.5
Electronics,7,94.5
