
***LMSC***

domain,ngram,accuracy
Amazon_Instant_Video,1,73.1
Amazon_Instant_Video,2,97.2
Amazon_Instant_Video,3,96.7
Amazon_Instant_Video,4,96.39999999999999
Amazon_Instant_Video,5,96.2
Amazon_Instant_Video,6,96.0
Amazon_Instant_Video,7,96.0
Amazon_Instant_Video,8,95.89999999999999
Amazon_Instant_Video,9,95.89999999999999
Amazon_Instant_Video,10,95.89999999999999

domain,ngram,accuracy
Art,1,75.9
Art,2,97.7
Art,3,96.6
Art,4,96.2
Art,5,95.89999999999999
Art,6,95.89999999999999
Art,7,95.8
Art,8,95.5
Art,9,95.5
Art,10,95.5

domain,ngram,accuracy
Automotive,1,76.4
Automotive,2,97.5
Automotive,3,96.3
Automotive,4,95.6
Automotive,5,95.3
Automotive,6,95.1
Automotive,7,94.6
Automotive,8,94.5
Automotive,9,94.39999999999999
Automotive,10,94.39999999999999

domain,ngram,accuracy
Baby,1,72.1
Baby,2,98.0
Baby,3,96.89999999999999
Baby,4,97.0
Baby,5,96.8
Baby,6,97.0
Baby,7,96.7
Baby,8,96.7
Baby,9,96.7
Baby,10,96.7

domain,ngram,accuracy
Beauty,1,78.3
Beauty,2,98.2
Beauty,3,97.3
Beauty,4,96.8
Beauty,5,96.39999999999999
Beauty,6,96.3
Beauty,7,96.2
Beauty,8,96.1
Beauty,9,96.0
Beauty,10,96.0

domain,ngram,accuracy
Books,1,75.0
Books,2,97.6
Books,3,97.0
Books,4,96.7
Books,5,96.39999999999999
Books,6,96.39999999999999
Books,7,96.1
Books,8,96.1
Books,9,96.0
Books,10,95.89999999999999

domain,ngram,accuracy
Cell_Phones_Accessories,1,78.3
Cell_Phones_Accessories,2,98.1
Cell_Phones_Accessories,3,97.2
Cell_Phones_Accessories,4,96.3
Cell_Phones_Accessories,5,95.7
Cell_Phones_Accessories,6,95.7
Cell_Phones_Accessories,7,95.6
Cell_Phones_Accessories,8,95.3
Cell_Phones_Accessories,9,95.3
Cell_Phones_Accessories,10,95.3

domain,ngram,accuracy
Clothing_Accessories,1,81.6
Clothing_Accessories,2,98.2
Clothing_Accessories,3,97.5
Clothing_Accessories,4,97.5
Clothing_Accessories,5,97.5
Clothing_Accessories,6,97.6
Clothing_Accessories,7,97.5
Clothing_Accessories,8,97.5
Clothing_Accessories,9,97.39999999999999
Clothing_Accessories,10,97.39999999999999

domain,ngram,accuracy
Electronics,1,76.3
Electronics,2,98.0
Electronics,3,96.89999999999999
Electronics,4,96.39999999999999
Electronics,5,96.2
Electronics,6,96.0
Electronics,7,96.1
Electronics,8,95.89999999999999
Electronics,9,95.8
Electronics,10,95.7

domain,ngram,accuracy
Gourmet_Foods,1,74.7
Gourmet_Foods,2,97.7
Gourmet_Foods,3,97.2
Gourmet_Foods,4,96.3
Gourmet_Foods,5,96.1
Gourmet_Foods,6,96.0
Gourmet_Foods,7,95.6
Gourmet_Foods,8,95.5
Gourmet_Foods,9,95.39999999999999
Gourmet_Foods,10,95.5

domain,ngram,accuracy
Health,1,78.4
Health,2,98.2
Health,3,97.0
Health,4,96.7
Health,5,96.39999999999999
Health,6,95.89999999999999
Health,7,95.7
Health,8,95.6
Health,9,95.7
Health,10,95.6

domain,ngram,accuracy
Home_Kitchen,1,77.0
Home_Kitchen,2,98.6
Home_Kitchen,3,97.2
Home_Kitchen,4,97.0
Home_Kitchen,5,96.8
Home_Kitchen,6,96.7
Home_Kitchen,7,96.6
Home_Kitchen,8,96.2
Home_Kitchen,9,96.1
Home_Kitchen,10,96.1

domain,ngram,accuracy
Industrial_Scientific,1,80.10000000000001
Industrial_Scientific,2,98.0
Industrial_Scientific,3,96.7
Industrial_Scientific,4,96.6
Industrial_Scientific,5,96.7
Industrial_Scientific,6,96.6
Industrial_Scientific,7,96.6
Industrial_Scientific,8,96.5
Industrial_Scientific,9,96.5
Industrial_Scientific,10,96.5

domain,ngram,accuracy
Jewelry,1,77.2
Jewelry,2,96.89999999999999
Jewelry,3,96.1
Jewelry,4,95.89999999999999
Jewelry,5,95.89999999999999
Jewelry,6,95.89999999999999
Jewelry,7,95.89999999999999
Jewelry,8,95.8
Jewelry,9,95.7
Jewelry,10,95.89999999999999

domain,ngram,accuracy
Kindle_Store,1,73.0
Kindle_Store,2,97.89999999999999
Kindle_Store,3,97.0
Kindle_Store,4,96.89999999999999
Kindle_Store,5,96.89999999999999
Kindle_Store,6,96.8
Kindle_Store,7,96.6
Kindle_Store,8,96.5
Kindle_Store,9,96.39999999999999
Kindle_Store,10,96.3

domain,ngram,accuracy
Movies_TV,1,71.2
Movies_TV,2,97.1
Movies_TV,3,96.6
Movies_TV,4,96.5
Movies_TV,5,96.2
Movies_TV,6,96.1
Movies_TV,7,95.89999999999999
Movies_TV,8,96.1
Movies_TV,9,96.3
Movies_TV,10,96.1

domain,ngram,accuracy
Music,1,68.4
Music,2,96.5
Music,3,96.1
Music,4,96.1
Music,5,96.1
Music,6,96.1
Music,7,96.1
Music,8,96.0
Music,9,95.89999999999999
Music,10,95.89999999999999

domain,ngram,accuracy
Musical_Instruments,1,76.0
Musical_Instruments,2,97.7
Musical_Instruments,3,96.39999999999999
Musical_Instruments,4,96.3
Musical_Instruments,5,96.1
Musical_Instruments,6,95.8
Musical_Instruments,7,95.5
Musical_Instruments,8,95.7
Musical_Instruments,9,95.6
Musical_Instruments,10,95.5

domain,ngram,accuracy
Office_Products,1,76.4
Office_Products,2,98.1
Office_Products,3,97.3
Office_Products,4,96.2
Office_Products,5,96.1
Office_Products,6,96.1
Office_Products,7,95.89999999999999
Office_Products,8,95.8
Office_Products,9,95.7
Office_Products,10,95.6

domain,ngram,accuracy
Patio,1,76.4
Patio,2,98.2
Patio,3,96.8
Patio,4,95.6
Patio,5,95.7
Patio,6,95.39999999999999
Patio,7,95.19999999999999
Patio,8,95.1
Patio,9,95.1
Patio,10,95.0

domain,ngram,accuracy
